0,1,2,3,4,5,6,7,8
glad,motion,region,likely,sometime,fill,ear,food,fourth
camp,end,original,solid,owner,stood,better,example,pot
friend,serve,variety,these,hospital,stretch,especially,older,date
burn,vertical,anyway,somewhere,simplest,rhyme,certain,while,little
also,football,although,grade,claws,grown,sang,myself,monkey
difficulty,cotton,boat,left,enter,test,toy,smallest,diameter
easy,means,energy,count,already,dress,somewhere,shadow,bee
we,problem,policeman,flew,coat,wrote,quietly,principal,condition
atmosphere,distance,relationship,collect,noun,magic,aid,everyone,between
percent,largest,mood,smell,thou,quarter,animal,chance,before
driving,speak,trace,why,jump,agree,mile,additional,stranger
